# KE: 100.00 MeV, L:  0 
# start: 0.00001 fm, dr:0.050, end:   20.00001 fm, nStep: 400 
#           r          Pot            u        du/dr            R        dR/dr
    1.165E+01   -1.577E-04    2.615E-01   -6.977E-01    2.255E-02   -6.209E-02
    1.170E+01   -1.451E-04    2.251E-01   -7.564E-01    1.933E-02   -6.659E-02
    1.175E+01   -1.335E-04    1.860E-01   -8.060E-01    1.590E-02   -7.025E-02
    1.180E+01   -1.228E-04    1.447E-01   -8.459E-01    1.232E-02   -7.304E-02
    1.185E+01   -1.130E-04    1.016E-01   -8.756E-01    8.613E-03   -7.493E-02
    1.190E+01   -1.040E-04    5.733E-02   -8.947E-01    4.838E-03   -7.591E-02
    1.195E+01   -9.566E-05    1.234E-02   -9.031E-01    1.037E-03   -7.598E-02
    1.200E+01   -8.802E-05   -3.280E-02   -9.007E-01   -2.745E-03   -7.514E-02
    1.205E+01   -8.098E-05   -7.755E-02   -8.873E-01   -6.462E-03   -7.341E-02
    1.210E+01   -7.450E-05   -1.214E-01   -8.634E-01   -1.007E-02   -7.081E-02
    1.215E+01   -6.855E-05   -1.637E-01   -8.290E-01   -1.353E-02   -6.739E-02
    1.220E+01   -6.307E-05   -2.041E-01   -7.847E-01   -1.680E-02   -6.320E-02
    1.225E+01   -5.802E-05   -2.420E-01   -7.309E-01   -1.984E-02   -5.828E-02
    1.230E+01   -5.338E-05   -2.770E-01   -6.683E-01   -2.261E-02   -5.271E-02
    1.235E+01   -4.912E-05   -3.087E-01   -5.977E-01   -2.510E-02   -4.655E-02
    1.240E+01   -4.519E-05   -3.367E-01   -5.199E-01   -2.726E-02   -3.989E-02
    1.245E+01   -4.158E-05   -3.606E-01   -4.358E-01   -2.908E-02   -3.280E-02
    1.250E+01   -3.825E-05   -3.802E-01   -3.465E-01   -3.054E-02   -2.538E-02
    1.255E+01   -3.519E-05   -3.952E-01   -2.530E-01   -3.161E-02   -1.771E-02
    1.260E+01   -3.238E-05   -4.054E-01   -1.565E-01   -3.230E-02   -9.896E-03
    1.265E+01   -2.979E-05   -4.108E-01   -5.810E-02   -3.260E-02   -2.023E-03
    1.270E+01   -2.741E-05   -4.112E-01    4.101E-02   -3.251E-02    5.811E-03
    1.275E+01   -2.522E-05   -4.067E-01    1.396E-01   -3.202E-02    1.352E-02
    1.280E+01   -2.320E-05   -3.973E-01    2.365E-01   -3.116E-02    2.100E-02
    1.285E+01   -2.135E-05   -3.831E-01    3.306E-01   -2.993E-02    2.817E-02
    1.290E+01   -1.964E-05   -3.643E-01    4.207E-01   -2.835E-02    3.495E-02
    1.295E+01   -1.807E-05   -3.411E-01    5.058E-01   -2.644E-02    4.126E-02
    1.300E+01   -1.662E-05   -3.138E-01    5.847E-01   -2.423E-02    4.702E-02
    1.305E+01   -1.529E-05   -2.827E-01    6.567E-01   -2.175E-02    5.219E-02
    1.310E+01   -1.407E-05   -2.483E-01    7.207E-01   -1.903E-02    5.668E-02
    1.315E+01   -1.295E-05   -2.108E-01    7.760E-01   -1.609E-02    6.047E-02
    1.320E+01   -1.191E-05   -1.708E-01    8.220E-01   -1.299E-02    6.350E-02
    1.325E+01   -1.096E-05   -1.288E-01    8.582E-01   -9.757E-03    6.575E-02
    1.330E+01   -1.008E-05   -8.519E-02    8.840E-01   -6.429E-03    6.720E-02
    1.335E+01   -9.277E-06   -4.057E-02    8.991E-01   -3.050E-03    6.783E-02
    1.340E+01   -8.535E-06    4.543E-03    9.035E-01    3.403E-04    6.765E-02
    1.345E+01   -7.853E-06    4.960E-02    8.969E-01    3.701E-03    6.666E-02
